"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**";"1pin";4;"1pin";;;
2;"SW5";"TSWA3NCD23LFS";1;"TSWA3NCD23LFS_";;;
3;"U1";"TQFP32";1;"SAMC21E-A";;;
4;"SW4,SW3,SW2,SW1";"TL9210";4;"TL9210";;;
5;"U6,U5,U4,U2";"SOT723";4;"2SC5662";;;
6;"D6";"SOT23";1;"BAV99";;;
7;"U3";"SOIC8-narrow";1;"LM2675";;;
8;"D2";"SOD123";1;"1N5819";;;
9;"U7";"so-8";1;"ATA663211";;;
10;"C3";"SM1206";1;"100u";;;
11;"L1";"SM0805";1;"33u";;;
12;"C8,C2,C5,C4";"SM0603";4;"0.1u";;;
13;"C1";"SM0603";1;"47u";;;
14;"R2,R3,R4,R5";"SM0603";4;"330R";;;
15;"R19";"SM0603";1;"2.7K";;;
16;"R20";"SM0603";1;"4K7";;;
17;"C9";"SM0603";1;"10u";;;
18;"R16,R1,R6";"SM0603";3;"10K";;;
19;"R21";"SM0603";1;"100K";;;
20;"C7";"SM0603";1;"220p";;;
21;"R15";"SM0603";1;"1K";;;
22;"CON1";"PJ-002A";1;"BARREL_JACK";;;
23;"D1,D3,D4,D5";"HDSM-283";4;"HDSM-283L";;;
24;"J2";"1881451";1;"1881451_LIN";;;
25;"R7";"SM0603";1;"22R";;;
26;"J1";"SWD Header";1;"SWD_HEADER";;;
